allege ledge
loam lone
haltingly halt
latte late
son sun
prism prison
rarely rare
acquit quit
bazaar bizarre
moor more
fourth force
perch purchase
visionary vision
sheep cheap
waffle awful
ore oar
insinuate sin
shear sheer
translate slate
grate great
dye die
frond friendly
mocha mockery
wholeheartedly heart
male mail
franc frank
sum sun
elementary element
spectacle spectacles
saw sorely
mourn morning
tenderly tender
wage age
oddly odds
lessor lesser
neck next
occident accident
caw cause
weight wait
err air
hull hell
caesar scissors
wine why
packet pack
symbol cymbal
collar caller
sturgeon surgeon
puck peck
galleon gallon
pane pain
pea peace
dinghy dingy
write rote
presence present
lease least
sage age
odor order
tier tear
mist miss
tier tears
sine sign
coo coup
bay day
mourning morning
grime crime
leaf leave
cymbal symbol
vainly vane
roll role
korea career
mute moot
lichen liken
serpentine turpentine
doc dock
knead need
brine brain
eon neon
dam damn
buzz busy
yearning earnings
band ban
waist waste
hertz hurt
throne throw
kilter kilt
inca ink
pizza peace
wife life
yolk joke
husky husk
drawl draw
kilt kill
loyally loyola
principal principle
sense cent
boa boy
wicker wicked
data date
lymph limp
gravely grave
swallow follow
peasant pleasant
veal feel
appropriately appropriate
pear peer
buoy boy
mechanically mechanic
canon cannon
rasp raspberry
fault false
incisor insider
recluse reckless
sheepishly sheep
presently present
aloud allow
peril pearl
hoe hose
altitude attitude
sunday sundae
valium volume
bluntly blunt
colonel kernel
thyme time
relatively relativity
sigh size
sore saw
queue cue
anagram gram
whine wine
